score	tier	name	owner	path
7.8	A	awesome-agent-skills	VoltAgent	repositories/skills/voltagent_awesome-agent-skills.yaml
7.75	A	research-synthesis	-	skills/research-synthesis/SKILL.md
7.65	A	primitives	radix-ui	repositories/frontend/radix-ui_primitives.yaml
7.6	A	documentation	-	skills/documentation/SKILL.md
7.35	A	reverse-engineering-public-systems	-	skills/reverse-engineering-public-systems/SKILL.md
7.35	A	competitive-analysis	-	skills/competitive-analysis/SKILL.md
7.35	A	BrowserGym	ServiceNow	repositories/browser-automation/servicenow_browsergym.yaml
6.7	B	open-r1	huggingface	repositories/research/huggingface_open-r1.yaml
6.7	B	autogen	microsoft	repositories/agent-frameworks/microsoft_autogen.yaml
6.7	B	GSAP	greensock	repositories/frontend/greensock_gsap.yaml
6.65	B	DeepSeek-R1	deepseek-ai	repositories/research/deepseek-ai_deepseek-r1.yaml
6.4	B	web-ui	browser-use	repositories/browser-automation/browser-use_web-ui.yaml
6.4	B	gorilla	ShishirPatil	repositories/research/shishirpatil_gorilla.yaml
6.4	B	AgentBench	THUDM	repositories/evaluation/thudm_agentbench.yaml
4.45	Deprecated	vscode-copilot-release	microsoft	repositories/developer-tools/microsoft_vscode-copilot-release.yaml
